x-axis E-06, 1 E-03
second,Volt
-5.475000,+287.657032255
-5.470000,+271.074117860
-5.465000,+254.993716022
-5.460000,+231.375625823
-5.455000,+191.174621228
-5.450000,-162.091706647
-5.445000,-299.277634826
-5.440000,-307.317835744
-5.435000,-291.237433907
-5.430000,-275.157032069
-5.425000,-283.197232988
-5.420000,-290.734921349
-5.415000,-267.116831150
-5.410000,-266.614318592
-5.405000,-210.835424718
-5.400000,+158.511304995
-5.395000,+295.697233174
-5.390000,+279.616831336
-5.385000,+279.616831336
-5.380000,+271.074117860
-5.375000,+287.657032255
-5.370000,+271.576630417
-5.365000,+263.536429498
-5.360000,+231.375625823
-5.355000,+191.174621228
-5.350000,-170.131907566
-5.345000,-307.317835744
-5.340000,-323.398237582
-5.335000,-299.277634826
-5.330000,-275.157032069
-5.325000,-275.157032069
-5.320000,-290.734921349
-5.315000,-283.197232988
-5.310000,-259.076630231
-5.305000,-210.835424718
-5.300000,+174.591706833
-5.295000,+303.737434093
-5.290000,+295.697233174
-5.285000,+287.657032255
-5.280000,+263.536429498
-5.275000,+279.616831336
-5.270000,+279.616831336
-5.265000,+271.074117860
-5.260000,+239.415826742
-5.255000,+191.174621228
-5.250000,-170.131907566
-5.245000,-322.895725025
-5.240000,-330.935925944
-5.235000,-299.277634826
-5.230000,-275.157032069
-5.225000,-275.157032069
-5.220000,-298.775122268
-5.215000,-283.197232988
-5.210000,-267.116831150
-5.205000,-202.795223799
-5.200000,+166.551505914
-5.195000,+311.777635012
-5.190000,+303.737434093
-5.185000,+287.154519698
-5.180000,+263.536429498
-5.175000,+279.616831336
-5.170000,+279.616831336
-5.165000,+263.536429498
-5.160000,+239.415826742
-5.155000,+183.134420309
-5.150000,-178.172108484
-5.145000,-323.398237582
-5.140000,-331.438438501
-5.135000,-299.277634826
-5.130000,-267.116831150
-5.125000,-267.116831150
-5.120000,-298.775122268
-5.115000,-283.197232988
-5.110000,-267.116831150
-5.105000,-202.795223799
-5.100000,+174.591706833
-5.095000,+319.315323373
-5.090000,+311.777635012
-5.085000,+295.194720617
-5.080000,+255.496228579
-5.075000,+279.616831336
-5.070000,+279.616831336
-5.065000,+271.576630417
-5.060000,+246.953515103
-5.055000,+191.174621228
-5.050000,-178.172108484
-5.045000,-330.935925944
-5.040000,-339.478639420
-5.035000,-299.277634826
-5.030000,-267.116831150
-5.025000,-267.116831150
-5.020000,-299.277634826
-5.015000,-291.237433907
-5.010000,-275.157032069
-5.005000,-210.835424718
-5.000000,+166.551505914
-4.995000,+319.315323373
-4.990000,+303.737434093
-4.985000,+287.657032255
-4.980000,+255.496228579
-4.975000,+279.616831336
-4.970000,+279.616831336
-4.965000,+271.576630417
-4.960000,+247.456027661
-4.955000,+191.174621228
-4.950000,-170.131907566
-4.945000,-331.438438501
-4.940000,-331.438438501
-4.935000,-299.277634826
-4.930000,-267.116831150
-4.925000,-275.157032069
-4.920000,-298.775122268
-4.915000,-291.237433907
-4.910000,-275.157032069
-4.905000,-202.795223799
-4.900000,+174.591706833
-4.895000,+319.817835931
-4.890000,+303.737434093
-4.885000,+287.657032255
-4.880000,+255.496228579
-4.875000,+279.616831336
-4.870000,+279.616831336
-4.865000,+271.576630417
-4.860000,+239.415826742
-4.855000,+191.174621228
-4.850000,-170.131907566
-4.845000,-322.895725025
-4.840000,-339.478639420
-4.835000,-299.277634826
-4.830000,-274.654519511
-4.825000,-275.157032069
-4.820000,-298.775122268
-4.815000,-291.237433907
-4.810000,-267.116831150
-4.805000,-202.795223799
-4.800000,+158.511304995
-4.795000,+311.777635012
-4.790000,+303.737434093
-4.785000,+287.657032255
-4.780000,+263.033916941
